indeks,nim,nama,prodi,ipk
1,1602276804,Ahmad Saputra,Teknik Informatika,3.04
2,1657744287,Fajar Maulana,Sistem Informasi,3.16
3,1193008687,Sari Saputra,Sistem Informasi,2.87
4,1268310679,Hendra Saputra,Sistem Informasi,3.09
5,1633229661,Hendra Wijaya,Sistem Informasi,3.2
6,1965687203,Intan Saputra,Teknik Informatika,3.8
7,1572486117,Sari Kusuma,Sains Data,3.43
8,1832950016,Yuni Ramadhan,Sains Data,2.85
9,1395980765,Intan Anggraini,Sistem Informasi,2.9
10,1449825198,Joko Anggraini,Sains Data,3.46
11,1175750309,Joko Lestari,Teknik Informatika,3.05
12,1507895169,Fajar Kusuma,Sains Data,3.76
13,1425723964,Rizky Permata,Teknik Informatika,3.06
14,1005507000,Karin Saputra,Sains Data,3.05
15,1621954781,Dewi Anggraini,Sistem Informasi,3.18
16,1480660781,Gita Lestari,Sains Data,3.28
17,1422948509,Ahmad Saputra,Teknik Informatika,2.97
18,1424039274,Nanda Maulana,Sains Data,3.89
19,1571295570,Tio Permata,Sains Data,3.81
20,1505800849,Tio Lestari,Sains Data,3.45
21,1645592723,Yuni Anggraini,Sistem Informasi,3.29
22,1990650551,Lukman Saputra,Teknik Informatika,3.19
23,1187696082,Yuni Saputra,Teknik Informatika,3.08
24,1871223685,Intan Pratama,Teknik Informatika,3.49
25,1803191475,Dewi Saputra,Sains Data,3.79
26,1585113878,Lukman Lestari,Sains Data,3.06
27,1178461989,Fajar Ramadhan,Teknik Informatika,2.98
28,1974672173,Budi Permata,Teknik Informatika,3.0
29,1938826320,Intan Nugroho,Sains Data,3.35
30,1683082590,Vina Ramadhan,Sistem Informasi,3.6
31,1365352709,Sari Anggraini,Sains Data,3.83
32,1714996619,Rizky Kusuma,Sains Data,3.24
33,1421496963,Sari Pratama,Sistem Informasi,3.1
34,1456442497,Fajar Anggraini,Teknik Informatika,3.1
35,1660923810,Putri Setiawan,Teknik Informatika,3.29
36,1857331688,Dewi Ramadhan,Teknik Informatika,2.98
37,1950284869,Vina Nugroho,Sistem Informasi,3.47
38,1758587422,Wahyu Kusuma,Sains Data,3.32
39,1247238013,Eka Maulana,Teknik Informatika,2.85
40,1454249568,Tio Ramadhan,Sistem Informasi,2.79
41,1378947562,Hendra Kusuma,Sistem Informasi,3.32
42,1367789959,Tio Setiawan,Sains Data,2.81
43,1614032373,Nanda Kusuma,Teknik Informatika,3.31
44,1709209002,Ahmad Setiawan,Teknik Informatika,3.05
45,1419423697,Fajar Kusuma,Teknik Informatika,3.43
46,1959391582,Zaki Kusuma,Sains Data,3.45
47,1197343538,Putri Saputra,Sistem Informasi,3.86
48,1687479285,Putri Permata,Sistem Informasi,3.7
49,1532924756,Karin Pratama,Sistem Informasi,3.73
50,1127387209,Citra Lestari,Sains Data,3.24
51,1524740242,Yuni Setiawan,Sistem Informasi,3.31
52,1547372211,Dewi Maulana,Sains Data,3.84
